name,target_rva,reason
?d_0000ea30@@YAXXZ,0x0000EA30,"gen-dump placeholder superseded by the real identity of these bytes: ?truename@?$numpunct@D@_STL@@QBE?AV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@2@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_num_get.cpp over the same 27-byte range. The Code/gen_asm/d_0000b550.asm dump reproduces those bytes but carries no identity."
?d_0000ea50@@YAXXZ,0x0000EA50,"gen-dump placeholder superseded by the real identity of these bytes: ?falsename@?$numpunct@D@_STL@@QBE?AV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@2@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_num_get.cpp over the same 27-byte range. The Code/gen_asm/d_0000b550.asm dump reproduces those bytes but carries no identity."
?d_0000e9a0@@YAXXZ,0x0000E9A0,"gen-dump placeholder superseded by the real identity of these bytes: ?sputc@?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@QAEGG@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_ostreambuf_iterator.cpp over the same 31-byte range. The Code/gen_asm/d_0000b550.asm dump reproduces those bytes but carries no identity."
?d_00006f10@@YAXXZ,0x00006F10,"gen-dump placeholder superseded by the real identity of these bytes: ?compare@?$char_traits@D@_STL@@SAHPBD0I@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_string.cpp over the same 28-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00006ee0@@YAXXZ,0x00006EE0,"gen-dump placeholder superseded by the real identity of these bytes: ??2@YAPAXIPAX@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp over the same 5-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00007410@@YAXXZ,0x00007410,"gen-dump placeholder superseded by the real identity of these bytes: ?dup_00007410@@YAXXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_deque_int.cpp over the same 11-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00013270@@YAXXZ,0x00013270,"gen-dump placeholder superseded by the real identity of these bytes: ?assign@?$char_traits@D@_STL@@SAXAADABD@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 13-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00006f30@@YAXXZ,0x00006F30,"gen-dump placeholder superseded by the real identity of these bytes: ?length@?$char_traits@D@_STL@@SAIPBD@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_ostream.cpp over the same 17-byte range. The Code/gen_asm/d_00005cd4.asm dump reproduces those bytes but carries no identity."
?d_00012150@@YAXXZ,0x00012150,"gen-dump placeholder superseded by the real identity of these bytes: ?erase@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAEPADPAD0@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 57-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013410@@YAXXZ,0x00013410,"gen-dump placeholder superseded by the real identity of these bytes: ??1?$basic_istream@DV?$char_traits@D@_STL@@@_STL@@UAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 15-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013520@@YAXXZ,0x00013520,"gen-dump placeholder superseded by the real identity of these bytes: ??1?$basic_ostream@DV?$char_traits@D@_STL@@@_STL@@UAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 15-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013430@@YAXXZ,0x00013430,"gen-dump placeholder superseded by the real identity of these bytes: ??1?$basic_istream@GV?$char_traits@G@_STL@@@_STL@@UAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_fstream.cpp over the same 15-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013550@@YAXXZ,0x00013550,"gen-dump placeholder superseded by the real identity of these bytes: ??1?$basic_ostream@GV?$char_traits@G@_STL@@@_STL@@UAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_fstream.cpp over the same 15-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013110@@YAXXZ,0x00013110,"gen-dump placeholder superseded by the real identity of these bytes: ?erase@?$basic_string@GV?$char_traits@G@_STL@@V?$allocator@G@2@@_STL@@QAEPAGPAG0@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_string.cpp over the same 65-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013fd0@@YAXXZ,0x00013FD0,"gen-dump placeholder superseded by the real identity of these bytes: ?_M_deallocate_buffers@?$basic_filebuf@DV?$char_traits@D@_STL@@@_STL@@AAEXXZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_filebuf.cpp over the same 54-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013470@@YAXXZ,0x00013470,"gen-dump placeholder superseded by the real identity of these bytes: ??_G?$basic_ios@DV?$char_traits@D@_STL@@@_STL@@UAEPAXI@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 30-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_000134b0@@YAXXZ,0x000134B0,"gen-dump placeholder superseded by the real identity of these bytes: ?clear@?$basic_ios@DV?$char_traits@D@_STL@@@_STL@@QAEXH@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 30-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_000134d0@@YAXXZ,0x000134D0,"gen-dump placeholder superseded by the real identity of these bytes: ??0?$basic_ios@DV?$char_traits@D@_STL@@@_STL@@IAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 29-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_000134f0@@YAXXZ,0x000134F0,"gen-dump placeholder superseded by the real identity of these bytes: ?rdbuf@?$basic_ios@DV?$char_traits@D@_STL@@@_STL@@QAEPAV?$basic_streambuf@DV?$char_traits@D@_STL@@@2@PAV32@@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_fstream.cpp over the same 39-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013360@@YAXXZ,0x00013360,"gen-dump placeholder superseded by the real identity of these bytes: ??_G?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@UAEPAXI@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_filebuf.cpp over the same 30-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013eb0@@YAXXZ,0x00013EB0,"gen-dump placeholder superseded by the real identity of these bytes: ?setbuf@?$basic_filebuf@DV?$char_traits@D@_STL@@@_STL@@MAEPAV?$basic_streambuf@DV?$char_traits@D@_STL@@@2@PADH@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_filebuf.cpp over the same 86-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013490@@YAXXZ,0x00013490,"gen-dump placeholder superseded by the real identity of these bytes: ??_G?$basic_ios@GV?$char_traits@G@_STL@@@_STL@@UAEPAXI@Z, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_fstream.cpp over the same 30-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013530@@YAXXZ,0x00013530,"gen-dump placeholder superseded by the real identity of these bytes: ??0?$basic_ios@GV?$char_traits@G@_STL@@@_STL@@IAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_fstream.cpp over the same 30-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00013600@@YAXXZ,0x00013600,"gen-dump placeholder superseded by the real identity of these bytes: ??0?$basic_streambuf@GV?$char_traits@G@_STL@@@_STL@@IAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_wide_filebuf.cpp over the same 46-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_0000ea70@@YAXXZ,0x0000EA70,"gen-dump placeholder superseded by the real identity of these bytes: ?negative_sign@?$moneypunct@D$00@_STL@@QBE?AV?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@2@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_money_get.cpp over the same 27-byte range. The Code/gen_asm/d_0000b550.asm dump reproduces those bytes but carries no identity."
?d_00013320@@YAXXZ,0x00013320,"gen-dump placeholder superseded by the real identity of these bytes: ??0?$basic_streambuf@DV?$char_traits@D@_STL@@@_STL@@IAE@XZ, byte-verified from Code/Libraries/Source/WWVegas/WWLib/stlport_narrow_filebuf.cpp over the same 60-byte range. The Code/gen_asm/d_000112aa.asm dump reproduces those bytes but carries no identity."
?d_00002926@@YAXXZ,0x00002926,"gen-dump placeholder superseded by the real identity of these bytes: ??_GCImage@ATL@@UAEPAXI@Z, byte-verified from Code/Libraries/Source/ATL/atlimage.cpp over the same 28-byte range. The Code/gen_asm/d_000010cf.asm dump reproduces those bytes but carries no identity."
?Get_Additional_Model_Count@HLodClass@@QBEHXZ,0x002B224B,"Held 0x00509D22 on a single-hit masked placement of the OLD HLodClass layout. With sizeof(RenderObjClass) corrected to 0xC4 the body reads a different member and the only remaining hit in .text is 0x002DABF7 - unaligned, not cc-padded and with nothing claimed anywhere near it, which is the same coincidental shape the three sibling getters had before they were repointed to aligned padded homes. Seven bytes of mov-and-return are too generic to assert on one weak hit; bring the row back when a body that CALLS this getter pins it."
?Set_Points@SegmentedLineClass@@QAEXIPAVVector3@@@Z,0x00742910,"Held 0x00742910 on a single-hit masked placement of the OLD SegmentedLineClass layout. Seven of its eight siblings in that same 0x0074xxxx cluster re-home to aligned cc-padded addresses in the real SegmentedLineClass cluster at 0x0015Exxx once sizeof(RenderObjClass) is corrected to 0xC4 - Get_Width had even landed inside the CameraClass getter row at 0x00133D90 - so the cluster was coincidence, not a home. This one finds no hit at all under the corrected layout, which means its body still differs from retail for some other reason; retiring it rather than leaving a claim the bytes no longer support."
?Get_Burst_Size@ParticleEmitterClass@@QBEHXZ,0x004ACD6C,Held 0x00143570 on a masked placement of the OLD ParticleEmitterClass layout. Under the corrected sizeof(RenderObjClass) the body has TWO hits - 0x00143590 (cc-padded) and 0x00376CDD (abuts) - and neither sits in the 0x001A0xxx cluster where its five regressed siblings each re-home to a single padded address. Two hits is not a placement and seven bytes of load-and-return is too generic to pick between them; retired until a caller pins it.
?Keep_Blank_Entries@INIClass@@SAX_N@Z,0x00446A67,Wrong global identity hidden by DIR32 copying: this setter writes VA 0x00E0335C but two independently byte-verified INIClass::Load(Straw) references establish KeepBlankEntries at VA 0x00E08D5C. Unique exact setter for that proven global is aligned and padded at RVA 0x00615C60 beside DuplicateCRCError; its replacement row is retained.
?myFieldParse@?1??parsePrerequisites@ThingTemplate@@KAXPAVINI@@PAX1PBX@Z@4QBUFieldParse@@B,0x0049A791,"This is a 48-byte const FieldParse data table in COFF .rdata (flags0x40301040), not executable code. Masking four pointer relocations made its zero bytes match an unrelated retail region whose purported string addresses are invalid. It was the source copy's only claim; retire that zero-match copy while the original reference and git history preserve it."
?_S_ref@?$_Rope_RopeRep@DV?$allocator@D@_STL@@@_STL@@SAXPAU12@@Z,0x006C5300,Wrong function identity hidden by DIR32 copying: retail calls kernel32.dll!GlobalFree at IAT VA0x00BBA268 but the source increments a rope reference using InterlockedIncrement. No complete exact candidate uses the independently named InterlockedIncrement IAT at VA0x00BBA214. The other five source claims remain.
?Get_Device@DX8Caps@@QBEIXZ,0x002190A8,False getter identity from the BFME1 DX8Caps layout: this retail candidate loads an unrelated field offset. The independently verified BFME2 Compute_Caps at0x12BDE0 establishes mapped device at+0x2C0 and vendor at+0x2D0; former candidates read+0x134 and+0x140. Correct the shader class layout and leave these getters unplaced until a caller identifies them.
?Get_Vendor@DX8Caps@@QBEIXZ,0x003EE6FD,False getter identity from the BFME1 DX8Caps layout: this retail candidate loads an unrelated field offset. The independently verified BFME2 Compute_Caps at0x12BDE0 establishes mapped device at+0x2C0 and vendor at+0x2D0; former candidates read+0x134 and+0x140. Correct the shader class layout and leave these getters unplaced until a caller identifies them.
?_bfme_ro_set_98@RenderObjClass@@UAEXM@Z,0x00210C91,Retire unsupported generated alias: precise RenderObj constructor stores integer -1 at98 and actual virtual slot is an indexed-factor setter; old anonymous float setter was only a folded code-shape match and cannot establish RenderObj identity. No replacement bytes claimed.
??_ELogicalDecalClass@MultiFixedPoolDecalSystemClass@@QAEPAXI@Z,0x0018FB10,Wrong LogicalDecal identity from a guessed destructor pin. Retail compressed-animation loader at VA5901B0/5901B5 constructs 24-byte nodes with destructor58F870 and constructor58F850 and stores the array at object58. Corrected to descriptive BFME2CompressedMotionChannels vector deleting destructor with no new-byte credit.
?Get_HName@HCompressedAnimClass@@UBEPBDXZ,0x002B236A,"Prior HCompressed identity was unsupported: the corrected BFME layout places HierarchyName at +0x30, while this held row's source body and evidence described a different +0x34 accessor."
??0?$DynamicVectorClass@PAVFontCharsBuffer@@@@QAE@IPBQAVFontCharsBuffer@@@Z,0x001A3AE0,"Caught by the DIR32 consistency check: ??_7?$VectorClass@PAVFontCharsBuffer@@@@6B@ resolved to two bases -- 0x00BD6C24 from this row's own body, and 0x00BD0D68 from ??1?$VectorClass@PAVFontCharsBuffer@@@@UAE@XZ (0x00120FB0) and ??_G?$VectorClass@PAVFontCharsBuffer@@@@UAEPAXI@Z (0x001213B0). The linker emits one vtable per class, so one placement is wrong, and it is this one: 0x00BD0D68 is self-consistently proven -- its slot 0 holds 0x001213B0, the exact address of ??_G?$VectorClass@PAVFontCharsBuffer@@@@UAEPAXI@Z, i.e. the vtable points back at this class's own deleting destructor by name. 0x00BD6C24 instead holds 0x005A3B90, the address of ??_G?$VectorClass@VVector3@@@@UAEPAXI@Z -- Vector3's deleting destructor, not FontCharsBuffer's. This DynamicVectorClass<T> constructor (int count, T const* buffer) never touches an element of T -- it only stores a pointer/count/two flag bytes -- so its compiled shape is identical for any pointer-sized T, and this row is one of four in functions.csv (matinfo.cpp x2, render2dsentence.cpp x2) all claiming the same 0x001A3AE0/94B range under different template parameters (VertexMaterialClass, TextureClass, FontCharsBuffer, Render2DClass) -- an existing duplicate-range over-claim this DIR32 check caught one edge of. The retail body at 0x001A3AE0 writes a transitional base vtable of 0x00BD6C24 (VectorClass<Vector3>, per the slot-0 read above) then a final vtable of 0x00BD6C54, matching neither this row's name nor, most likely, its three siblings at the same address; retired rather than repointed. The other three same-range rows are not retired here -- they were not named by this DIR32 failure and deserve their own check before being touched."
?Store_Length@StringClass@@AAEXH@Z,0x0060F130,"Caught by the DIR32 consistency check: ?m_EmptyString@StringClass@@0PADA resolved to two bases, 0x00DD528C (dozens of independently-landed rows, e.g. ?Free_String@StringClass@@AAEXXZ at 0x00610A40 which reads it at three separate sites in one 111-byte body) and 0x00DD6338 (only this row). A private static has one definition, so one of the two is wrong, and it is this one, decided by what is actually at each address rather than by the count: the pointer value stored at 0x00DD528C is 0x00E08C18, and Free_String's own byte-verified body directly manipulates the immediately adjacent addresses 0x00E08C1C and 0x00E08C20 (a lock/refcount pair right next to the empty-string buffer) -- internally self-consistent. The pointer value stored at 0x00DD6338 is 0x00E0958C, an address with no relationship to that region. This row's body (cmp eax, dword ptr [this address]; conditionally write a length prefix) is a generic copy-on-write-buffer shape that some other class's real method owns; it does not belong to StringClass::Store_Length. Retired rather than repointed; no reverse/symbols.csv pin depended on it."
??0?$DynamicVectorClass@PAVVertexMaterialClass@@@@QAE@IPBQAVVertexMaterialClass@@@Z,0x001A3AE0,"Finishing the four-way over-claim at 0x001A3AE0/94B that ??0?$DynamicVectorClass@PAVFontCharsBuffer@@@@QAE@IPBQAVFontCharsBuffer@@@Z was retired from (see that tombstone above). Read what the body at 0x001A3AE0 actually installs rather than guessing among the four claimed template parameters: its constructor writes a transitional base vtable of 0x00BD6C24, then a final vtable of 0x00BD6C54. Both are self-referentially proven the same way the FontCharsBuffer case was: the sibling destructor at 0x001A3AB0 -- reached the same way any DynamicVectorClass<T> destructor would be, by calling it from the deleting destructor at 0x001A3EB0, itself sitting in 0x00BD6C54's own slot 0 -- writes 0x00BD6C24 as ITS vtable, and 0x00BD6C24's slot 0 holds 0x005A3B90, the address of ??_G?$VectorClass@VVector3@@@@UAEPAXI@Z: Vector3's deleting destructor, not VertexMaterialClass's, TextureClass's, or Render2DClass's. The whole constructor/destructor/deleting-destructor family at 0x001A3AE0/0x001A3AB0/0x001A3EB0 belongs to DynamicVectorClass<Vector3>, a template instantiation none of the four rows that claimed this address ever named. This DynamicVectorClass<T> constructor overload (int count, T const* buffer) never touches an element of T, so its compiled shape is identical for any pointer-sized T -- that is why four unrelated masked single-hit placements collided here. An address with no correct claimant among the four is a better ledger state than three wrong ones; all three are retired rather than repointed, since none names Vector3 and inventing that identity for any of them would not be warranted by this evidence."
??0?$DynamicVectorClass@PAVTextureClass@@@@QAE@IPBQAVTextureClass@@@Z,0x001A3AE0,"Finishing the four-way over-claim at 0x001A3AE0/94B that ??0?$DynamicVectorClass@PAVFontCharsBuffer@@@@QAE@IPBQAVFontCharsBuffer@@@Z was retired from (see that tombstone above). Read what the body at 0x001A3AE0 actually installs rather than guessing among the four claimed template parameters: its constructor writes a transitional base vtable of 0x00BD6C24, then a final vtable of 0x00BD6C54. Both are self-referentially proven the same way the FontCharsBuffer case was: the sibling destructor at 0x001A3AB0 -- reached the same way any DynamicVectorClass<T> destructor would be, by calling it from the deleting destructor at 0x001A3EB0, itself sitting in 0x00BD6C54's own slot 0 -- writes 0x00BD6C24 as ITS vtable, and 0x00BD6C24's slot 0 holds 0x005A3B90, the address of ??_G?$VectorClass@VVector3@@@@UAEPAXI@Z: Vector3's deleting destructor, not VertexMaterialClass's, TextureClass's, or Render2DClass's. The whole constructor/destructor/deleting-destructor family at 0x001A3AE0/0x001A3AB0/0x001A3EB0 belongs to DynamicVectorClass<Vector3>, a template instantiation none of the four rows that claimed this address ever named. This DynamicVectorClass<T> constructor overload (int count, T const* buffer) never touches an element of T, so its compiled shape is identical for any pointer-sized T -- that is why four unrelated masked single-hit placements collided here. An address with no correct claimant among the four is a better ledger state than three wrong ones; all three are retired rather than repointed, since none names Vector3 and inventing that identity for any of them would not be warranted by this evidence."
??0?$DynamicVectorClass@PAVRender2DClass@@@@QAE@IPBQAVRender2DClass@@@Z,0x001A3AE0,"Finishing the four-way over-claim at 0x001A3AE0/94B that ??0?$DynamicVectorClass@PAVFontCharsBuffer@@@@QAE@IPBQAVFontCharsBuffer@@@Z was retired from (see that tombstone above). Read what the body at 0x001A3AE0 actually installs rather than guessing among the four claimed template parameters: its constructor writes a transitional base vtable of 0x00BD6C24, then a final vtable of 0x00BD6C54. Both are self-referentially proven the same way the FontCharsBuffer case was: the sibling destructor at 0x001A3AB0 -- reached the same way any DynamicVectorClass<T> destructor would be, by calling it from the deleting destructor at 0x001A3EB0, itself sitting in 0x00BD6C54's own slot 0 -- writes 0x00BD6C24 as ITS vtable, and 0x00BD6C24's slot 0 holds 0x005A3B90, the address of ??_G?$VectorClass@VVector3@@@@UAEPAXI@Z: Vector3's deleting destructor, not VertexMaterialClass's, TextureClass's, or Render2DClass's. The whole constructor/destructor/deleting-destructor family at 0x001A3AE0/0x001A3AB0/0x001A3EB0 belongs to DynamicVectorClass<Vector3>, a template instantiation none of the four rows that claimed this address ever named. This DynamicVectorClass<T> constructor overload (int count, T const* buffer) never touches an element of T, so its compiled shape is identical for any pointer-sized T -- that is why four unrelated masked single-hit placements collided here. An address with no correct claimant among the four is a better ledger state than three wrong ones; all three are retired rather than repointed, since none names Vector3 and inventing that identity for any of them would not be warranted by this evidence."
??0NodeMotionStruct@@QAE@XZ,0x006CBBF0,"Retired for the BFME fade-channel correction: the 28-byte body at 0x006CBBF0 inits eight nulls, but retail NodeMotionStruct holds nine channels (Fade ahead of Vis; Get_Orientation at 0x0018DD60 indexes the array with a 36-byte stride and BFME1 inits Fade(NULL) in its ctor). The eight-null zeroing shape folds with other small structs, so the old single-hit placement was an ICF alias, not this ctor. The nine-null ctor has no unique masked placement yet; re-land it if one emerges."
?resize@?$basic_string@DV?$char_traits@D@_STL@@V?$allocator@D@2@@_STL@@QAEXI@Z,0x00157E50,"mislabeled row retracted: 15B body at 0x00157E50 calls BfmeWordVec two-arg resize at 0x000824F9, so it is BfmeWordVec single-arg resize, not basic_string resize; superseded by ?resize@BfmeWordVec@@QAEXI@Z row"
?dup_00665640@@YAXXZ,0x00665640,"ICF-alias misattribution retracted: the 10B body at 0x00665640 stores its argument at [ecx+0x18] and is byte-verified as ?Set_Mesh@AABTreeClass@@QAEXPAVMeshGeometryClass@@@Z from Code/Libraries/Source/WWVegas/WW3D2/aabtree.cpp (BFME1 port, reloc-named by its call site); it is not setTeamNumber@GameSlot (all 10B mov-[ecx+imm] setters fold together, so the alias guess was shape-only). Superseded by the Set_Mesh row over the same range."
